Classification,Food Name,Moisture (water) (mg),Protein (mg),"Fat, total (mg)",Ash (mg),Total dietary fibre (mg),"Available carbohydrate, without sugar alcohols (mg)",Total sugars (mg),Starch (mg),Sodium (Na) (mg),Potassium (K) (mg),Calcium (Ca) (mg),Phosphorus (P) (mg),Magnesium (Mg) (mg),Iron (Fe) (mg),Zinc (Zn) (mg),Cholesterol (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin C (mg)
13201,"Biscuit, savoury, from white wheat flour, water cracker style",3100.0,10400.0,7200.0,2100.0,3700.0,69400.0,2000.0,67400.0,560,170,46,120,35,1.5,0.77,0,0.2,0.03,1.4,0
13201,"Biscuit, savoury, from white wheat flour, cheese-flavoured",2600.0,12000.0,24200.0,2700.0,2900.0,56400.0,3200.0,53200.0,871,180,93,236,34,1.26,1.01,10,0.24,0.095,0.66,5
13201,"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)",2100.0,9600.0,24500.0,2700.0,2000.0,59700.0,5200.0,54500.0,854,195,56,208,34,1.37,0.86,8,0.17,0.05,0.68,4
13201,"Biscuit, savoury, from wholemeal wheat flour, crispbread",2800.0,10600.0,8100.0,2400.0,9900.0,59100.0,2000.0,57100.0,450,350,33,250,94,2.3,1.6,0,0.15,0.04,4.6,0
13201,"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed",5200.0,14000.0,3800.0,1400.0,7600.0,69100.0,1500.0,67600.0,364,326,47,256,81,3.2,1.6,0,0.41,0.08,4.7,0
13201,"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted",6200.0,12300.0,5600.0,1600.0,3300.0,66100.0,3600.0,62500.0,380,200,44,140,41,1.3,1.1,10,0.23,0.05,1.4,0
13101,"Biscuit, sweet, Anzac style, commercial",5300.0,5800.0,22100.0,1300.0,3800.0,60300.0,32000.0,28300.0,300,190,30,200,43,1.4,0.68,8,0.1,0.0,0.0,0
13101,"Biscuit, sweet, Anzac style, homemade from basic ingredients",3400.0,4600.0,22600.0,900.0,3100.0,64000.0,41200.0,22700.0,210,131,15,81,29,0.87,0.62,31,0.083,0.01,0.66,0
13101,"Biscuit, sweet, ginger flavoured, commercial",4000.0,4800.0,10600.0,1300.0,1900.0,77700.0,39000.0,38700.0,358,232,88,98,21,1.9,0.55,10,0.08,0.0,1.4,0
13101,"Biscuit, sweet, plain",2900.0,6400.0,15800.0,1200.0,2100.0,69400.0,24700.0,44700.0,289,149,30,88,22,1.28,0.54,5,0.107,0.017,0.2,6
13101,"Biscuit, sweet, shortbread style, commercial",2700.0,6200.0,26300.0,1000.0,2300.0,60800.0,20400.0,40400.0,270,110,33,78,19,0.77,0.45,63,0.1,0.04,0.0,0
13101,"Biscuit, sweet, wheatmeal",3000.0,7800.0,11700.0,1100.0,5600.0,67000.0,21600.0,45400.0,423,167,30,174,46,2.1,1.15,18,0.12,0.02,3.2,0
13101,"Biscuit, sweet, chocolate flavoured, commercial",4100.0,6200.0,17200.0,900.0,1900.0,72400.0,31000.0,41400.0,308,127,40,152,24,1.75,0.55,14,0.05,0.0,1.3,0
13101,"Cone, wafer style, for ice cream",6500.0,9100.0,4000.0,700.0,3200.0,79700.0,2600.0,77100.0,328,137,26,139,26,2.2,0.5,0,0.02,0.02,2.1,0
12201,"Breadcrumbs, white",7300.0,14000.0,4100.0,2600.0,4700.0,68500.0,4600.0,63800.0,650,193,124,142,43,2.0,1.2,0,0.768,0.063,3.92,0
12201,"Bagel, from white flour, commercial",33400.0,10400.0,1400.0,1700.0,3100.0,50700.0,6200.0,44500.0,490,120,29,93,29,1.0,0.7,0,0.6,0.05,1.1,0
12201,"Bagel, from white flour, commercial, toasted",24400.0,11800.0,1600.0,1900.0,3500.0,57600.0,7000.0,50600.0,557,136,33,106,33,1.14,0.8,0,0.545,0.057,1.25,0
12201,"Bread, damper, from white flour, homemade",34700.0,7500.0,5500.0,2300.0,3300.0,42900.0,2900.0,40000.0,630,150,53,330,25,0.78,0.66,21,0.25,0.04,1.2,0
12201,"Bread, damper, homemade, toasted",23200.0,8800.0,6500.0,2700.0,3900.0,50500.0,3400.0,47000.0,741,176,62,388,29,0.92,0.78,25,0.235,0.047,1.41,0
12201,"Bread, from white flour",38200.0,9500.0,2000.0,1800.0,3200.0,46200.0,3100.0,43100.0,439,130,84,96,29,1.35,0.81,0,0.648,0.042,2.64,0
12201,"Bread, from white flour, toasted",24000.0,10800.0,2800.0,2100.0,4300.0,54300.0,3700.0,50600.0,512,166,150,99,40,1.38,0.96,0,0.796,0.05,0.58,0
12201,"Bread, from white flour, Italian-style, commercial",35300.0,9000.0,2500.0,1600.0,3900.0,46800.0,2000.0,44800.0,500,98,16,98,24,0.84,0.77,0,0.32,0.02,1.0,0
12201,"Bread, from white flour, Italian-style, commercial, toasted",23000.0,10700.0,3000.0,1900.0,4600.0,55700.0,2400.0,53300.0,595,117,19,117,28,1.0,0.92,0,0.305,0.024,1.19,0
