Classification,Food Name,Moisture (water),Protein,"Fat, total",Ash,Total dietary fibre,"Available carbohydrate, without sugar alcohols",Total sugars,Starch,Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Magnesium (Mg),Iron (Fe),Zinc (Zn),Cholesterol,Thiamin (B1),Riboflavin (B2),Niacin (B3),Vitamin C
14401,"Oil, cottonseed",-2.1008705523232707,-1.1360134697103417,5.010988575262148,-0.9915627389098888,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.3458927002101994,-1.240542735261578,-0.3688822769832204,-1.0894674696627769,-0.6594171138186611,-0.3662586930762329,-0.8008576229928854,-0.5283741312354292,-0.6127475349030765,-0.8921262824164784,-0.8730732031990398,-0.3506109419404934
12101,"Barley, pearl, uncooked",-1.7532103312916163,-0.2435579395878909,-0.3601177105316467,-0.1714136090588883,1.6543423293091912,2.224675463631126,-0.3340652053721405,2.964191963184642,-0.3233449404809925,0.1367645003754355,-0.1818799943464413,0.2124591128848676,0.990017047271814,0.0574778699046701,-0.2476051710255567,-0.5283741312354292,0.0850766418902494,-0.7306776390810517,1.2987097577408122,-0.3506109419404934
24302,"Cassava, white flesh, peeled, fresh, raw",-0.0290994392366782,-1.0819252557635264,-0.5153199561479793,-0.4447966523425552,0.273233276305394,0.976400693459414,-0.3166752757857122,1.4189699631206036,-0.341383148264358,-0.2567518526637112,-0.228630565005636,-0.9063840439920144,-0.4337050707220697,-0.1736511644485497,0.3056472809417719,-0.5283741312354292,0.3313675278173056,-0.8114019607487651,-0.7414499934451093,1.2266009478161286
24701,"Pumpkin, jarrahdale, peeled, fresh, raw",1.1096651623057812,-1.0729105534390573,-0.5264058308348601,-0.6498339348053054,-0.2142169776959461,-0.4273196141299071,-0.0471313671960741,-0.4850676324639226,-0.3458927002101994,-0.4692506833048505,-0.2620238297622038,-0.9402883820791926,-0.5031549301364056,-0.3431457896409108,-0.7685845632947912,-0.5283741312354292,-0.6127475349030765,-0.8921262824164784,-0.8730732031990398,0.0229392424755486
18102,"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat",-0.1603589104425068,1.2258385393005884,0.438065266923778,-0.3764508915216385,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.2128609178078784,-0.3079089785588003,-0.3288103592753392,0.1649930395628181,-0.3121678167469821,-0.0176390662601262,1.6242322914639051,0.5510162487150267,-0.3377227122845304,0.795012040438731,1.0354633382329514,-0.3506109419404934
24201,"Brussels sprout, fresh, boiled, drained",0.9500252648932868,-0.7754253767315736,-0.5153199561479793,-0.239759369879805,0.3057299599054833,-0.4273196141299071,-0.107996120748573,-0.43876884594515,-0.2759946450496579,0.2233380980440479,-0.2085946061516954,-0.6487110745294598,-0.2948053518933981,-0.2352855736094082,-0.6441027616021422,-0.5283741312354292,-0.2022627250246494,-0.0364484727387167,-0.7579028946643506,2.5132738052491623
18301,"Chicken, drumstick, lean flesh, casseroled, no added fat",0.1837537573133144,1.442191395087849,-0.1661149035112309,-0.3764508915216385,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.179039278214068,-0.3748067585754552,-0.2553451768108902,0.4023234061730658,-0.2600804221862302,-0.192911917311318,0.3056472809417719,1.162237307241189,0.1671736038659347,1.610327689282636,0.4431588943402645,-0.3506109419404934
17101,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",0.5597944045516341,0.0088537254972465,-0.0109126578948983,-0.3764508915216385,-0.4741904464966608,-0.615738447363373,-0.3949299589246394,-0.4850676324639226,-0.0708100315138746,-0.7604527845538191,-0.0616642412227975,0.1582121719453824,-0.4510675355756536,-0.0523084214131093,-0.2383842968261012,3.9842579391598503,-0.255625750308845,3.257103851303989,-0.8730732031990398,-0.3506109419404934
12101,"Triticale, grain, uncooked",-1.728377458360784,-0.2706020465612985,-0.3989182719357298,-0.0347220874170549,1.865570772709772,2.1163346345218828,-0.2645054870264274,2.790571513739244,-0.334618820345596,0.0659315568283891,-0.1885586472977548,0.571845096608957,1.319903879489909,0.3174980335520424,0.1442819824513009,-0.5283741312354292,0.8444735401653393,-0.6499533174133383,-0.3136745617448354,-0.3506109419404934
16404,"Cherry, black, canned in syrup, drained",0.6946014290332959,-1.0548811487901188,-0.5264058308348601,-0.7865254564471388,-0.1979686358959014,0.1238054730779806,0.9440946192303368,-0.4677055875193829,-0.334618820345596,-0.7289714763106874,-0.302095747470085,-1.0013161906361134,-0.5205173949899895,-0.0580866472719397,-0.7547532519956079,-0.5283741312354292,-0.6127475349030765,-0.8921262824164784,-0.8730732031990398,-0.3506109419404934
22204,"Nut, almond meal",-1.9234928885316105,0.6398828882100904,2.267234590259126,1.2638473681803626,1.313127151508253,-0.375504434990704,0.031123315942853,-0.4734929358342295,-0.3458927002101994,1.86430129021729,1.4143180610174948,2.4365836914037606,3.993723466941837,0.3598716898501327,0.8358475474104619,-0.5283741312354292,0.1671736038659347,-0.3270560307424848,0.6076879065326776,-0.3506109419404934
13302,"Cake, carrot, commercial, iced",-1.178506700606637,-0.7393665674336969,0.598810449883551,-0.1714136090588883,-0.2304653194959908,1.6123142556223615,2.2309494086260284,0.5045689293748432,0.3418139715306125,-0.650268205702858,-0.0950575059793653,-0.0045286508730731,-0.2253554924790623,-0.0580866472719397,-0.487347900211399,0.0308281137991443,-0.4485536109517056,-0.8921262824164784,-0.5111093763757311,-0.3506109419404934
25101,"Bean, red kidney, dried, boiled, drained",0.421439826794139,-0.4238519860772749,-0.5042340814610984,-0.3764508915216385,0.6956901631065555,-0.201217014249748,-0.368845064544997,0.0068569742980369,-0.3278544924268339,-0.0993453114480524,-0.14180807663856,-0.2079546793961425,0.0003565506175289,-0.0388258944091714,-0.3398139130201115,-0.5283741312354292,-0.3254081679881775,-0.8921262824164784,-0.7414499934451093,-0.3506109419404934
18102,"Lamb, all cuts, separable fat, raw",-1.0011290368149768,-0.1624256186676682,2.6607831416433982,-0.6498339348053054,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.2962876288059441,-0.8824428539959546,-0.3354890122266527,-0.7097388830863806,-0.5552423246971574,-0.2872896063388828,-0.5518940196075874,0.2779174778841885,-0.6127475349030765,-0.3270560307424848,-0.2149571544293876,-0.3506109419404934
24602,"Tomato, whole, canned in tomato juice, no added salt, undrained",1.2338295269599433,-1.0548811487901188,-0.5319487681783006,-0.5814881739843887,-0.3117070284962142,-0.4885557349307835,-0.1601659095078578,-0.4850676324639226,-0.3233449404809925,-0.3787419221058467,-0.2353092179569496,-0.953850117314064,-0.4684300004292376,-0.2140987454603631,-0.736311503596697,-0.5283741312354292,-0.5716990539152338,-0.8114019607487651,-0.7743557958835919,-0.1430830617093589
